Date,DailyCases,ChangesInDaily,ChangesInDailyP
Feb. 16,2132,35,2%
Feb. 15,2097,-566,-21%
Feb. 14,2663,-2491,-48%
Feb. 13,5154,-8959,-63%
Feb. 12,14113,12042,581%
Feb. 11,2071,-475,-19%
Feb. 10,2546,-455,-15%
Feb. 9,3001,325,12%
Feb. 8,2676,-761,-22%
Feb. 7,3437,274,9%
Feb. 6,3163,-560,-15%
Feb. 5,3723,-202,-5%
Feb. 4,3925,686,21%
Feb. 3,3239,401,14%
Feb. 2,2838,235,9%
Feb. 1,2603,476,22%
Jan. 31,2127,119,6%
Jan. 30,2008,253,14%
Jan. 29,1755,278,19%
Jan. 28,1477,-304,-17%
Jan. 27,1781,996,127%
Jan. 26,785,87,12%
Jan. 25,698,226,48%
Jan. 24,472,207,78%
